scientific_name,taxid,dir_name,genome_flag
Pelobacter carbinolicus DSM 2380,338963,Pelobacter_carbinolicus_DSM_2380,1
Prochlorococcus marinus subsp. pastoris str. CCMP1986,59919,Prochlorococcus,1
Pseudomonas aeruginosa PAO1,208964,Pseudomonas_aerunginosa,0
Pseudomonas fluorescens Pf0-1,205922,Pseudomonas_fluorescens_PfO-1,0
Pseudonocardia sp.,60912,Pseudonocardia_sp,0
Ralstonia pickettii,329,Ralstonia_pickettii,0
Rhodobacter capsulatus SB 1003,272942,Rhodobacter_capsulatus_SB1003,1
Rhodobacter sphaeroides 2.4.1,272943,Rhodobacter_sphaeroides_2.4.1,0
Rhodopseudomonas palustris,1076,Rhodopseudomonas_palustris,0
Roseiflexus castenholzii,120962,Roseiflexus_castenholzii,0
Saccharomonospora viridis DSM 43017,471857,Saccharomonospora_viridis_DSM_43017,1
Salmonella enterica subsp. enterica serovar Typhi str. Ty2,209261,Salmonella_typhi_TY2,0
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,588858,Salmonella_typhimurium_ATCC_14028,0
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,Salmonella_typhimurium_LT2,0
Sanguibacter keddieii DSM 10542,446469,Sanguibacter_keddieii_DSM_10542,1
Shewanella amazonensis SB2B,326297,Shewanella_amazonensis_SB2B,1
Shewanella baltica OS155,325240,Shewanella_baltica_OS155,0
Shewanella baltica OS185,402882,Shewanella_baltica_OS185,0
Shewanella baltica OS195,399599,Shewanella_baltica_OS195,0
Shewanella baltica OS223,407976,Shewanella_baltica_OS223,0
Shewanella denitrificans OS217,318161,Shewanella_denitrificans_OS217,1
Shewanella frigidimarina NCIMB 400,318167,Shewanella_frigidimarina_NCIMB_400,1
Shewanella loihica PV-4,323850,Shewanella_loihica_PV-4,1
Shewanella oneidensis MR-1,211586,Shewanella_oneidensis_MR-1,0
Shewanella putrefaciens 200,399804,Shewanella_putrefaciens_200,0
Shewanella putrefaciens CN-32,319224,Shewanella_putrefaciens_CN-32,0
Shewanella sp. W3-18-1,351745,Shewanella_putrefaciens_W3-18-1,0
Shewanella sp. ANA-3,94122,Shewanella_sp_ANA-3,0
Shewanella sp. MR-4,60480,Shewanella_sp_MR-4,0
Shewanella sp. MR-7,60481,Shewanella_sp_MR-7,0
Sinorhizobium medicae,110321,Sinorhizobium_medicae,0
Sinorhizobium meliloti 1021,266834,Sinorhizobium_meliloti_1021,0
Slackia heliotrinireducens DSM 20476,471855,Slackia_heliotrinireducens_DSM_20476,1
Stackebrandtia nassauensis DSM 44728,446470,Stackebrandtia_nassauensis_DSM_44728,1
Sulfolobus acidocaldarius DSM 639,330779,Sulfolobus_acidocaldarius_DSM_639,1
Synechococcus sp. PCC 7002,32049,Synechococcus_sp_PCC7002,1
Syntrophobacter fumaroxidans,119484,Syntrophobacter_fumaroxidans,0
Thermobispora bispora DSM 43833,469371,Thermobispora_bispora_DSM_43833,1
Thermosynechococcus elongatus BP-1,197221,Thermosynechococcus_elongatus_BP-1,0
Thermosynechococcus sp. NK55a,,Thermosynechococcus_sp_NAK55,0
Thermotoga maritima,2336,Thermotoga_maritima,0
Thiocapsa marina,244573,Thiocapsa_marina_DSM_5653T,0
Opitutaceae bacterium TAV1,278956,Verrucomicrobium_sp_TAV1,0
Opitutaceae bacterium TAV5,794903,Verrucomicrobium_sp_TAV5,1
Xylanimonas cellulosilytica DSM 15894,446471,Xylanimonas_cellulosilytica_DSM_15894,1
Yersinia enterocolitica,630,Yersinia_enterocolitica,0
Yersinia pestis CO92,214092,Yersinia_pestis_CO92,0
Yersinia pestis KIM10+,187410,Yersinia_pestis_KIM,0
,,Yersinia_pestis_Pestoides_F,0
Yersinia pseudotuberculosis IP 32953,273123,Yersinia_pseudotuberculosis_IP_32953,0
Yersinia pseudotuberculosis PB1/+,502801,Yersinia_pseudotuberculosis_PB1_Plus,0
